race_source_id,date,course,distance,distance_yards,going,runner,finish_position,or,base_rating,same_day_rating,historical_fallback_rating,base_standard,actual,deviation_seconds,deviation_per_f,standard_sample_size,standard_sample_stdev,same_day_peers,same_day_stdev,historical_sample,likely_cause
896320,2025-12-31,Uttoxeter,2m 7f 70y,5130,Good to Soft (Soft in places),Kauto D'Amour,10,83,-156.58,-47.52,-131.42,352.19,381.99,29.80,1.28,25,11.95,6,0.30,345,unusually_slow_or_fast_going
841650,2025-02-01,Sandown,1m 7f 216y,3516,Heavy,Recordator,7,,-154.28,-117.49,-73.34,255.03,264.53,9.49,0.59,16,15.22,5,0.48,18,unknown_or_subtype_mixing_possible
889940,2025-11-18,Kelso,2m 51y,3571,Soft,Travis Wheatley,4,104,-153.48,-100.96,-112.39,240.88,294.47,53.60,3.30,24,8.07,5,1.25,205,bad_or_implausible_winning_time_or_configuration
845376,2025-02-26,Bangor-on-Dee,2m 7f 32y,5092,Heavy,Henrysbrotherjack,1,90,-153.14,42.78,-33.83,348.89,402.21,53.32,2.30,13,12.85,6,0.39,42,bad_or_implausible_winning_time_or_configuration
889940,2025-11-18,Kelso,2m 51y,3571,Soft,Kingston Narcissus,3,114,-152.23,-99.71,-111.14,240.88,294.47,53.60,3.30,24,8.07,5,1.25,205,bad_or_implausible_winning_time_or_configuration
889940,2025-11-18,Kelso,2m 51y,3571,Soft,Joltin N Jiving,2,120,-151.23,-98.71,-110.14,240.88,294.47,53.60,3.30,24,8.07,5,1.25,205,bad_or_implausible_winning_time_or_configuration
845773,2025-02-28,Ffos Las,2m 4f,4400,Heavy,Jack's Jury,6,,-148.56,6.51,-40.20,303.58,330.76,27.18,1.36,26,13.46,5,0.20,43,unusually_slow_or_fast_going
844852,2025-02-23,Fontwell,3m 1f 210y,5710,Heavy (Soft in Places),Dear Ralphy,3,100,-145.09,-31.36,-,406.70,454.00,47.30,1.82,13,12.64,6,0.47,1,bad_or_implausible_winning_time_or_configuration
889940,2025-11-18,Kelso,2m 51y,3571,Soft,Magnolia,1,110,-143.73,-91.21,-102.64,240.88,294.47,53.60,3.30,24,8.07,5,1.25,205,bad_or_implausible_winning_time_or_configuration
844851,2025-02-23,Fontwell,2m 5f 164y,4784,Soft (Heavy in Places),Military Tycoon,5,84,-143.05,-41.24,-47.53,329.30,356.00,26.70,1.23,19,11.56,6,0.47,3,unusually_slow_or_fast_going
896320,2025-12-31,Uttoxeter,2m 7f 70y,5130,Good to Soft (Soft in places),Elfride,9,68,-142.58,-33.52,-117.42,352.19,381.99,29.80,1.28,25,11.95,6,0.30,345,unusually_slow_or_fast_going
843753,2025-02-15,Wincanton,2m 5f 82y,4702,Good to Soft (Soft in places),Kap De Triomphe,7,96,-141.48,-4.27,-112.97,310.06,348.00,37.94,1.78,5,19.31,6,0.32,77,bad_or_implausible_winning_time_or_configuration
865308,2025-06-29,Cartmel,3m 1f 107y,5607,Good to Soft (Soft in places),Community Rebel,8,94,-141.33,-80.98,-108.93,393.51,433.64,40.13,1.57,7,15.16,6,0.46,159,bad_or_implausible_winning_time_or_configuration
843753,2025-02-15,Wincanton,2m 5f 82y,4702,Good to Soft (Soft in places),Slide Rule,6,105,-140.23,-3.02,-111.72,310.06,348.00,37.94,1.78,5,19.31,6,0.32,77,bad_or_implausible_winning_time_or_configuration
842721,2025-02-09,Chepstow,2m 7f 131y,5191,Soft (Heavy in places),Sporty Jim,10,94,-140.02,-29.80,-49.84,361.16,395.50,34.34,1.46,20,14.09,6,0.24,43,unusually_slow_or_fast_going
843753,2025-02-15,Wincanton,2m 5f 82y,4702,Good to Soft (Soft in places),Moor End,5,96,-139.23,-2.02,-110.72,310.06,348.00,37.94,1.78,5,19.31,6,0.32,77,bad_or_implausible_winning_time_or_configuration
843753,2025-02-15,Wincanton,2m 5f 82y,4702,Good to Soft (Soft in places),Tea And Chats,4,99,-138.73,-1.52,-110.22,310.06,348.00,37.94,1.78,5,19.31,6,0.32,77,bad_or_implausible_winning_time_or_configuration
893227,2025-12-10,Hexham,2m 7f 63y,5123,Heavy,Coventry,6,83,-138.34,63.66,-26.88,373.06,418.67,45.61,1.96,11,17.15,5,0.22,69,bad_or_implausible_winning_time_or_configuration
845774,2025-02-28,Ffos Las,2m 7f 191y,5251,Heavy,Nedzor,3,89,-137.79,25.76,-10.08,365.08,409.37,44.29,1.86,9,10.69,5,0.20,44,bad_or_implausible_winning_time_or_configuration
893227,2025-12-10,Hexham,2m 7f 63y,5123,Heavy,West Lawn,5,75,-137.34,64.66,-25.88,373.06,418.67,45.61,1.96,11,17.15,5,0.22,69,bad_or_implausible_winning_time_or_configuration
843023,2025-02-11,Lingfield,2m 7f,5060,Heavy,Williamdeconqueror,3,79,-137.06,-72.27,-25.19,362.57,394.27,31.70,1.38,7,12.61,5,0.48,27,unusually_slow_or_fast_going
842721,2025-02-09,Chepstow,2m 7f 131y,5191,Soft (Heavy in places),William Philo,9,83,-136.77,-26.55,-46.59,361.16,395.50,34.34,1.46,20,14.09,6,0.24,43,unusually_slow_or_fast_going
885236,2025-10-20,Plumpton,3m 1f 157y,5657,Good,Masterdream,3,107,-136.36,-111.93,-161.71,400.80,442.95,42.15,1.64,3,7.62,6,0.60,773,weak_course_distance_sample
843753,2025-02-15,Wincanton,2m 5f 82y,4702,Good to Soft (Soft in places),Diesel Line,3,86,-136.23,0.98,-107.72,310.06,348.00,37.94,1.78,5,19.31,6,0.32,77,bad_or_implausible_winning_time_or_configuration
845774,2025-02-28,Ffos Las,2m 7f 191y,5251,Heavy,Blackacre,2,79,-136.04,27.51,-8.33,365.08,409.37,44.29,1.86,9,10.69,5,0.20,44,bad_or_implausible_winning_time_or_configuration
841726,2025-01-30,Wincanton,2m 5f 82y,4702,Heavy,Ebselysees,6,,-135.86,-29.19,-2.60,310.06,350.10,40.04,1.87,5,18.45,7,0.35,8,bad_or_implausible_winning_time_or_configuration
841726,2025-01-30,Wincanton,2m 5f 82y,4702,Heavy,Lyness Dancer,5,,-134.86,-28.19,-1.60,310.06,350.10,40.04,1.87,5,18.45,7,0.35,8,bad_or_implausible_winning_time_or_configuration
845189,2025-02-21,Warwick,3m 2f,5720,Soft (Good to Soft in places),Newtonian,11,80,-134.00,-46.21,-73.33,379.72,416.88,37.16,1.43,5,13.20,7,0.42,101,unusually_slow_or_fast_going
847053,2025-03-08,Ayr,2m,3520,Soft,The Low Ball,10,,-133.42,-68.73,-87.72,248.85,265.09,16.24,1.01,23,9.15,6,0.21,135,unusually_slow_or_fast_going
889604,2025-11-16,Fontwell,2m 5f 164y,4784,Good to Soft,Grey D'alco,11,81,-131.65,-83.72,-118.15,329.30,354.26,24.96,1.15,19,11.75,5,0.34,245,unusually_slow_or_fast_going
845371,2025-02-26,Bangor-on-Dee,2m 4f 72y,4472,Heavy,Imperial Alex,2,118,-131.38,44.65,-29.16,302.99,345.27,42.28,2.08,8,12.89,6,0.39,38,bad_or_implausible_winning_time_or_configuration
841726,2025-01-30,Wincanton,2m 5f 82y,4702,Heavy,Chique Angel,4,,-129.86,-23.19,3.40,310.06,350.10,40.04,1.87,5,18.45,7,0.35,8,bad_or_implausible_winning_time_or_configuration
844852,2025-02-23,Fontwell,3m 1f 210y,5710,Heavy (Soft in Places),Jukebox D'eddy,2,73,-129.09,-15.36,-,406.70,454.00,47.30,1.82,13,12.64,6,0.47,1,bad_or_implausible_winning_time_or_configuration
844659,2025-02-21,Exeter,2m 161y,3681,Heavy (Soft in places),Aceofadiamond,11,,-128.57,-3.25,-82.51,253.39,275.21,21.81,1.30,24,12.54,6,0.21,20,unusually_slow_or_fast_going
844659,2025-02-21,Exeter,2m 161y,3681,Heavy (Soft in places),Rouban,10,,-128.37,-3.05,-82.31,253.39,275.21,21.81,1.30,24,12.54,6,0.21,20,unusually_slow_or_fast_going
891843,2025-11-29,Doncaster,2m 128y,3648,Soft,Joy Pain And Sky,10,,328.25,370.62,393.10,240.61,194.02,-46.59,-2.81,17,7.78,6,1.26,218,bad_or_implausible_winning_time_or_configuration
836801,2025-01-01,Fakenham,2m 7f 95y,5155,Good to Soft,Hurst Hill,5,91,-126.02,-50.29,-52.97,364.05,403.62,39.57,1.69,7,13.65,6,0.48,2,bad_or_implausible_winning_time_or_configuration
893227,2025-12-10,Hexham,2m 7f 63y,5123,Heavy,Moveonbuy,4,83,-125.34,76.66,-13.88,373.06,418.67,45.61,1.96,11,17.15,5,0.22,69,bad_or_implausible_winning_time_or_configuration
882335,2025-10-03,Hexham,2m 7f 63y,5123,Good to Soft,Star Vantage,6,92,-124.53,-33.28,-116.25,373.06,420.19,47.13,2.02,11,16.79,6,0.50,175,bad_or_implausible_winning_time_or_configuration
882335,2025-10-03,Hexham,2m 7f 63y,5123,Good to Soft,Getaway With You,5,75,-124.23,-32.98,-115.95,373.06,420.19,47.13,2.02,11,16.79,6,0.50,175,bad_or_implausible_winning_time_or_configuration
844852,2025-02-23,Fontwell,3m 1f 210y,5710,Heavy (Soft in Places),Record High,1,95,-123.09,-9.36,-,406.70,454.00,47.30,1.82,13,12.64,6,0.47,1,bad_or_implausible_winning_time_or_configuration
876415,2025-08-30,Newton Abbot,2m 167y,3687,Good,Casual Encounter,5,,-122.93,-121.25,-138.35,246.65,285.21,38.56,2.30,35,9.13,5,0.94,609,bad_or_implausible_winning_time_or_configuration
845370,2025-02-26,Bangor-on-Dee,2m 1f 77y,3817,Heavy,Royal Deeside,5,93,-121.20,28.37,-35.00,256.28,296.03,39.75,2.29,9,13.92,6,0.39,37,bad_or_implausible_winning_time_or_configuration
845189,2025-02-21,Warwick,3m 2f,5720,Soft (Good to Soft in places),Fantomas,10,81,-121.00,-33.21,-60.33,379.72,416.88,37.16,1.43,5,13.20,7,0.42,101,unusually_slow_or_fast_going
882335,2025-10-03,Hexham,2m 7f 63y,5123,Good to Soft,Wee Alki,4,94,-120.98,-29.73,-112.70,373.06,420.19,47.13,2.02,11,16.79,6,0.50,175,bad_or_implausible_winning_time_or_configuration
876415,2025-08-30,Newton Abbot,2m 167y,3687,Good,Lynsey Larue,4,,-120.93,-119.25,-136.35,246.65,285.21,38.56,2.30,35,9.13,5,0.94,609,bad_or_implausible_winning_time_or_configuration
890412,2025-11-20,Wincanton,1m 7f 149y,3449,Good,Authoceltic,1,108,319.05,266.50,298.63,250.39,214.13,-36.26,-2.31,2,2.76,6,0.68,842,weak_course_distance_sample
845374,2025-02-26,Bangor-on-Dee,2m 3f 123y,4303,Heavy,Steal The Moves,3,,-118.36,72.98,-13.92,287.48,321.63,34.15,1.75,20,11.09,6,0.39,40,bad_or_implausible_winning_time_or_configuration
843753,2025-02-15,Wincanton,2m 5f 82y,4702,Good to Soft (Soft in places),Les's Jersey Royal,2,88,-118.23,18.98,-89.72,310.06,348.00,37.94,1.78,5,19.31,6,0.32,77,bad_or_implausible_winning_time_or_configuration
837304,2025-01-05,Chepstow,3m 2f 54y,5774,Heavy (Soft in places),Fairlawn Flyer,7,105,-118.15,-,-,412.81,449.30,36.49,1.39,2,6.41,1,0.10,0,weak_course_distance_sample
